site_no,year,runoff
06803486,2000-01-01,2099.70
06803486,2001-01-01,34437.36
06803486,2002-01-01,13491.21
06803486,2003-01-01,10859.17
06803486,2004-01-01,8893.77
06803486,2005-01-01,11422.25
06803486,2006-01-01,12576.22
06803486,2007-01-01,62805.82
06803486,2008-01-01,95886.55
06803486,2009-01-01,31100.03
06803486,2010-01-01,71793.32
06803486,2011-01-01,44719.34
06803486,2012-01-01,16833.02
06803486,2013-01-01,16039.26
06803486,2014-01-01,70420.03
06803486,2015-01-01,68874.45
06803486,2016-01-01,79819.44
06803486,2017-01-01,71579.50
06803486,2018-01-01,53371.04
06803486,2019-01-01,127235.11
06803495,2005-01-01,46383.27
06803495,2006-01-01,44310.55
06803495,2007-01-01,169856.53
06803495,2008-01-01,252522.84
06803495,2009-01-01,74851.44
06803495,2010-01-01,214021.88
06803495,2011-01-01,143072.33
06803495,2012-01-01,66706.91
06803495,2013-01-01,78682.31
06803495,2014-01-01,147447.47
06803495,2015-01-01,331812.30
06803495,2016-01-01,202611.77
06803495,2017-01-01,177919.34
06803495,2018-01-01,175197.62
06803495,2019-01-01,324458.18
