site_no,month,mean,min,max
06803486,2000-10-01,12.80,9.60,17.00
06803486,2000-11-01,13.90,11.00,19.00
06803486,2000-12-01,11.61,10.00,14.00
06803486,2001-01-01,22.94,10.00,46.00
06803486,2001-02-01,59.75,22.00,370.00
06803486,2001-03-01,45.06,23.00,147.00
06803486,2001-04-01,29.90,24.00,37.00
06803486,2001-05-01,83.03,25.00,441.00
06803486,2001-06-01,124.60,45.00,978.00
06803486,2001-07-01,24.06,14.00,42.00
06803486,2001-08-01,12.09,7.70,18.00
06803486,2001-09-01,13.82,8.10,40.00
06803486,2001-10-01,44.16,9.63,76.30
06803486,2001-11-01,66.59,61.00,83.10
06803486,2001-12-01,47.43,5.86,93.70
06803486,2002-01-01,15.64,7.56,20.60
06803486,2002-02-01,15.51,5.23,26.00
06803486,2002-03-01,16.98,9.04,29.40
06803486,2002-04-01,15.80,13.50,24.60
06803486,2002-05-01,29.26,12.20,122.00
06803486,2002-06-01,16.02,8.21,45.40
06803486,2002-07-01,8.05,5.39,15.00
06803486,2002-08-01,54.95,5.04,1000.00
06803486,2002-09-01,7.96,5.79,15.90
06803486,2002-10-01,17.85,5.79,232.00
06803486,2002-11-01,12.56,9.18,15.70
06803486,2002-12-01,12.01,9.15,16.30
06803486,2003-01-01,16.65,12.70,23.30
06803486,2003-02-01,18.19,13.80,23.70
06803486,2003-03-01,15.73,11.40,21.60
06803486,2003-04-01,14.31,11.60,24.00
06803486,2003-05-01,32.77,7.58,193.00
06803486,2003-06-01,32.13,8.38,181.00
06803486,2003-07-01,6.75,4.74,11.30
06803486,2003-08-01,7.27,5.28,10.90
06803486,2003-09-01,6.93,3.50,29.90
06803486,2003-10-01,6.45,3.60,11.60
06803486,2003-11-01,12.57,7.86,52.40
06803486,2003-12-01,10.75,9.00,14.00
06803486,2004-01-01,9.43,7.80,10.90
06803486,2004-02-01,14.37,9.06,31.70
06803486,2004-03-01,19.80,12.60,89.10
06803486,2004-04-01,11.85,9.42,14.00
06803486,2004-05-01,16.18,8.09,66.40
06803486,2004-06-01,23.04,7.38,354.00
06803486,2004-07-01,13.38,8.15,36.50
06803486,2004-08-01,7.47,5.01,12.40
06803486,2004-09-01,5.95,3.94,14.00
06803486,2004-10-01,5.55,3.54,8.33
06803486,2004-11-01,11.00,7.39,18.30
06803486,2004-12-01,9.24,6.23,14.20
06803486,2005-01-01,8.31,3.65,13.00
06803486,2005-02-01,21.62,11.30,81.80
06803486,2005-03-01,13.97,9.07,21.40
06803486,2005-04-01,24.82,9.92,108.00
06803486,2005-05-01,42.85,8.03,498.00
06803486,2005-06-01,18.50,9.63,60.80
06803486,2005-07-01,14.31,6.74,89.70
06803486,2005-08-01,15.60,6.36,182.00
06803486,2005-09-01,5.44,4.40,7.81
06803486,2005-10-01,8.55,5.37,25.90
06803486,2005-11-01,7.32,6.42,9.47
06803486,2005-12-01,8.36,6.91,11.70
06803486,2006-01-01,9.73,7.92,19.10
06803486,2006-02-01,10.87,9.40,13.50
06803486,2006-03-01,17.91,8.68,135.00
06803486,2006-04-01,24.57,10.50,181.00
06803486,2006-05-01,23.48,12.60,93.80
06803486,2006-06-01,9.47,6.93,12.40
06803486,2006-07-01,8.00,3.86,11.80
06803486,2006-08-01,26.93,5.92,264.00
06803486,2006-09-01,45.01,5.88,415.00
06803486,2006-10-01,8.37,6.63,10.30
06803486,2006-11-01,9.82,8.44,21.70
