agency_cd,site_no,datetime,93535_00060_00003,93535_00060_00003_cd
USGS,06803486,2000-10-10,10.0,A
USGS,06803486,2000-10-11,10.0,A
USGS,06803486,2000-10-12,11.0,A
USGS,06803486,2000-10-13,12.0,A
USGS,06803486,2000-10-14,13.0,A
USGS,06803486,2000-10-15,11.0,A
USGS,06803486,2000-10-16,11.0,A
USGS,06803486,2000-10-17,11.0,A
USGS,06803486,2000-10-18,11.0,A
USGS,06803486,2000-10-19,11.0,A
USGS,06803486,2000-10-20,10.0,A
USGS,06803486,2000-10-21,9.60,A
USGS,06803486,2000-10-22,12.0,A
USGS,06803486,2000-10-23,13.0,A
USGS,06803486,2000-10-24,14.0,A
USGS,06803486,2000-10-25,16.0,A
USGS,06803486,2000-10-26,15.0,A
USGS,06803486,2000-10-27,14.0,A
USGS,06803486,2000-10-28,16.0,A
USGS,06803486,2000-10-29,17.0,A
USGS,06803486,2000-10-30,17.0,A
USGS,06803486,2000-10-31,17.0,A
USGS,06803486,2000-11-01,16.0,A
USGS,06803486,2000-11-02,13.0,A
USGS,06803486,2000-11-03,15.0,A
USGS,06803486,2000-11-04,14.0,A
USGS,06803486,2000-11-05,11.0,A
USGS,06803486,2000-11-06,17.0,A
USGS,06803486,2000-11-07,19.0,A
USGS,06803486,2000-11-08,16.0,A
USGS,06803486,2000-11-09,13.0,A
USGS,06803486,2000-11-10,12.0,A
USGS,06803486,2000-11-11,11.0,A
USGS,06803486,2000-11-12,12.0,A
USGS,06803486,2000-11-13,13.0,A
USGS,06803486,2000-11-14,11.0,A
USGS,06803486,2000-11-15,11.0,A
USGS,06803486,2000-11-16,12.0,A
USGS,06803486,2000-11-17,16.0,A
USGS,06803486,2000-11-18,13.0,A
USGS,06803486,2000-11-19,13.0,A
USGS,06803486,2000-11-20,13.0,A
USGS,06803486,2000-11-21,17.0,A
USGS,06803486,2000-11-22,15.0,A
USGS,06803486,2000-11-23,13.0,A
USGS,06803486,2000-11-24,15.0,A
USGS,06803486,2000-11-25,14.0,A
USGS,06803486,2000-11-26,14.0,A
USGS,06803486,2000-11-27,14.0,A
USGS,06803486,2000-11-28,16.0,A
USGS,06803486,2000-11-29,15.0,A
USGS,06803486,2000-11-30,13.0,A
USGS,06803486,2000-12-01,14.0,A
USGS,06803486,2000-12-02,14.0,A
USGS,06803486,2000-12-03,14.0,A:e
USGS,06803486,2000-12-04,13.0,A:e
USGS,06803486,2000-12-05,12.0,A:e
USGS,06803486,2000-12-06,13.0,A
USGS,06803486,2000-12-07,12.0,A
USGS,06803486,2000-12-08,11.0,A
USGS,06803486,2000-12-09,11.0,A:e
USGS,06803486,2000-12-10,11.0,A:e
USGS,06803486,2000-12-11,10.0,A:e
USGS,06803486,2000-12-12,10.0,A:e
USGS,06803486,2000-12-13,10.0,A:e
USGS,06803486,2000-12-14,11.0,A:e
USGS,06803486,2000-12-15,10.0,A:e
USGS,06803486,2000-12-16,11.0,A:e
USGS,06803486,2000-12-17,12.0,A:e
USGS,06803486,2000-12-18,12.0,A:e
USGS,06803486,2000-12-19,12.0,A:e
USGS,06803486,2000-12-20,11.0,A:e
USGS,06803486,2000-12-21,11.0,A:e
USGS,06803486,2000-12-22,10.0,A:e
USGS,06803486,2000-12-23,11.0,A:e
USGS,06803486,2000-12-24,11.0,A:e
USGS,06803486,2000-12-25,11.0,A:e
USGS,06803486,2000-12-26,12.0,A:e
USGS,06803486,2000-12-27,11.0,A:e
USGS,06803486,2000-12-28,12.0,A:e
USGS,06803486,2000-12-29,12.0,A:e
