gage,date,Min,Max,Mean
6803486.00,2000-10-31,3.30,17.00,10.73
6803486.00,2000-11-30,11.00,19.00,13.90
6803486.00,2000-12-31,10.00,14.00,11.61
6803486.00,2001-01-31,10.00,46.00,22.94
6803486.00,2001-02-28,22.00,370.00,59.75
6803486.00,2001-03-31,23.00,147.00,45.06
6803486.00,2001-04-30,24.00,37.00,29.90
6803486.00,2001-05-31,25.00,441.00,83.03
6803486.00,2001-06-30,45.00,978.00,124.60
6803486.00,2001-07-31,14.00,42.00,24.06
6803486.00,2001-08-31,7.70,18.00,12.09
6803486.00,2001-09-30,8.10,40.00,13.82
6803486.00,2001-10-31,9.63,76.30,44.16
6803486.00,2001-11-30,61.00,83.10,66.59
6803486.00,2001-12-31,5.86,93.70,47.43
6803486.00,2002-01-31,7.56,20.60,15.64
6803486.00,2002-02-28,5.23,26.00,15.51
6803486.00,2002-03-31,9.04,29.40,16.98
6803486.00,2002-04-30,13.50,24.60,15.80
6803486.00,2002-05-31,12.20,122.00,29.26
6803486.00,2002-06-30,8.21,45.40,16.02
6803486.00,2002-07-31,5.39,15.00,8.05
6803486.00,2002-08-31,5.04,1000.00,54.95
6803486.00,2002-09-30,5.79,15.90,7.96
6803486.00,2002-10-31,5.79,232.00,17.85
6803486.00,2002-11-30,9.18,15.70,12.56
6803486.00,2002-12-31,9.15,16.30,12.01
6803486.00,2003-01-31,12.70,23.30,16.65
6803486.00,2003-02-28,13.80,23.70,18.19
6803486.00,2003-03-31,11.40,21.60,15.73
6803486.00,2003-04-30,11.60,24.00,14.31
6803486.00,2003-05-31,7.58,193.00,32.77
6803486.00,2003-06-30,8.38,181.00,32.13
6803486.00,2003-07-31,4.74,11.30,6.75
6803486.00,2003-08-31,5.28,10.90,7.27
6803486.00,2003-09-30,3.50,29.90,6.93
6803486.00,2003-10-31,3.60,11.60,6.45
6803486.00,2003-11-30,7.86,52.40,12.57
6803486.00,2003-12-31,9.00,14.00,10.75
6803486.00,2004-01-31,7.80,10.90,9.43
6803486.00,2004-02-29,9.06,31.70,14.37
6803486.00,2004-03-31,12.60,89.10,19.80
6803486.00,2004-04-30,9.42,14.00,11.85
6803486.00,2004-05-31,8.09,66.40,16.18
6803486.00,2004-06-30,7.38,354.00,23.04
6803486.00,2004-07-31,8.15,36.50,13.38
6803486.00,2004-08-31,5.01,12.40,7.47
6803486.00,2004-09-30,3.94,14.00,5.95
6803486.00,2004-10-31,3.54,8.33,5.55
6803486.00,2004-11-30,7.39,18.30,11.00
6803486.00,2004-12-31,6.23,14.20,9.24
6803486.00,2005-01-31,3.65,13.00,8.31
6803486.00,2005-02-28,11.30,81.80,21.62
6803486.00,2005-03-31,9.07,21.40,13.97
6803486.00,2005-04-30,9.92,108.00,24.82
6803486.00,2005-05-31,8.03,498.00,42.85
6803486.00,2005-06-30,9.63,60.80,18.50
6803486.00,2005-07-31,6.74,89.70,14.31
6803486.00,2005-08-31,6.36,182.00,15.60
6803486.00,2005-09-30,4.40,7.81,5.44
6803486.00,2005-10-31,5.37,25.90,8.55
6803486.00,2005-11-30,6.42,9.47,7.32
6803486.00,2005-12-31,6.91,11.70,8.36
6803486.00,2006-01-31,7.92,19.10,9.73
6803486.00,2006-02-28,9.40,13.50,10.87
6803486.00,2006-03-31,8.68,135.00,17.91
6803486.00,2006-04-30,10.50,181.00,24.57
6803486.00,2006-05-31,12.60,93.80,23.48
6803486.00,2006-06-30,6.93,12.40,9.47
6803486.00,2006-07-31,3.86,11.80,8.00
6803486.00,2006-08-31,5.92,264.00,26.93
6803486.00,2006-09-30,5.88,415.00,45.01
6803486.00,2006-10-31,6.63,10.30,8.37
6803486.00,2006-11-30,8.44,21.70,9.82
6803486.00,2006-12-31,9.29,52.50,14.29
6803486.00,2007-01-31,13.60,38.00,21.29
6803486.00,2007-02-28,12.40,278.00,53.85
6803486.00,2007-03-31,16.40,86.40,35.37
6803486.00,2007-04-30,14.60,638.00,65.78
6803486.00,2007-05-31,29.00,3740.00,361.48
6803486.00,2007-06-30,44.60,625.00,98.18
6803486.00,2007-07-31,18.40,73.60,32.12
6803486.00,2007-08-31,20.00,636.00,141.91
6803486.00,2007-09-30,30.80,178.00,64.82
6803486.00,2007-10-31,23.90,348.00,90.23
6803486.00,2007-11-30,15.20,45.00,28.85
6803486.00,2007-12-31,21.00,53.30,41.07
6803486.00,2008-01-31,30.00,210.00,49.02
6803486.00,2008-02-29,48.20,132.00,63.34
6803486.00,2008-03-31,29.90,142.00,53.58
6803486.00,2008-04-30,47.70,431.00,127.29
6803486.00,2008-05-31,67.50,900.00,169.03
6803486.00,2008-06-30,160.00,2530.00,613.80
6803486.00,2008-07-31,76.20,835.00,178.85
6803486.00,2008-08-31,28.20,70.30,42.70
6803486.00,2008-09-30,24.80,164.00,41.38
6803486.00,2008-10-31,26.90,1570.00,120.32
6803486.00,2008-11-30,56.30,106.00,68.56
6803486.00,2008-12-31,43.00,194.00,63.11
6803486.00,2009-01-31,36.70,66.50,48.13
6803486.00,2009-02-28,39.00,88.50,52.12
6803486.00,2009-03-31,36.90,49.00,43.44
6803486.00,2009-04-30,32.90,41.70,36.05
6803486.00,2009-05-31,27.10,61.70,36.49
6803486.00,2009-06-30,35.70,571.00,132.48
6803486.00,2009-07-31,23.70,71.80,39.64
6803486.00,2009-08-31,10.40,142.00,26.19
6803486.00,2009-09-30,11.10,19.20,14.80
6803486.00,2009-10-31,12.20,141.00,28.47
6803486.00,2009-11-30,25.60,41.30,29.56
6803486.00,2009-12-31,17.00,41.90,30.32
6803486.00,2010-01-31,35.80,78.90,49.34
6803486.00,2010-02-28,35.50,55.00,43.78
6803486.00,2010-03-31,38.00,480.00,183.43
6803486.00,2010-04-30,51.90,93.60,70.29
6803486.00,2010-05-31,43.40,112.00,58.57
6803486.00,2010-06-30,83.10,2100.00,352.46
6803486.00,2010-07-31,90.60,1620.00,243.61
6803486.00,2010-08-31,32.10,83.70,51.25
6803486.00,2010-09-30,27.80,290.00,51.05
6803486.00,2010-10-31,24.30,56.70,29.88
6803486.00,2010-11-30,22.70,57.30,30.45
6803486.00,2010-12-31,21.50,27.70,24.00
6803486.00,2011-01-31,22.90,39.10,28.32
6803486.00,2011-02-28,28.10,207.00,60.65
6803486.00,2011-03-31,38.80,52.30,43.89
6803486.00,2011-04-30,32.20,121.00,54.27
6803486.00,2011-05-31,35.10,1860.00,211.17
6803486.00,2011-06-30,50.40,428.00,108.05
6803486.00,2011-07-31,27.60,152.00,68.37
6803486.00,2011-08-31,29.20,394.00,69.55
