,Agency,Site_No,DateTime,Flow,Value
2,USGS,06803486,2000-10-01,3.30,A
3,USGS,06803486,2000-10-02,3.80,A
4,USGS,06803486,2000-10-03,4.10,A
5,USGS,06803486,2000-10-04,3.50,A
6,USGS,06803486,2000-10-05,6.30,A
7,USGS,06803486,2000-10-06,6.10,A
8,USGS,06803486,2000-10-07,7.00,A:e
9,USGS,06803486,2000-10-08,8.00,A:e
10,USGS,06803486,2000-10-09,9.00,A:e
11,USGS,06803486,2000-10-10,10.0,A
12,USGS,06803486,2000-10-11,10.0,A
13,USGS,06803486,2000-10-12,11.0,A
14,USGS,06803486,2000-10-13,12.0,A
15,USGS,06803486,2000-10-14,13.0,A
16,USGS,06803486,2000-10-15,11.0,A
17,USGS,06803486,2000-10-16,11.0,A
18,USGS,06803486,2000-10-17,11.0,A
19,USGS,06803486,2000-10-18,11.0,A
20,USGS,06803486,2000-10-19,11.0,A
21,USGS,06803486,2000-10-20,10.0,A
22,USGS,06803486,2000-10-21,9.60,A
23,USGS,06803486,2000-10-22,12.0,A
24,USGS,06803486,2000-10-23,13.0,A
25,USGS,06803486,2000-10-24,14.0,A
26,USGS,06803486,2000-10-25,16.0,A
27,USGS,06803486,2000-10-26,15.0,A
28,USGS,06803486,2000-10-27,14.0,A
29,USGS,06803486,2000-10-28,16.0,A
30,USGS,06803486,2000-10-29,17.0,A
31,USGS,06803486,2000-10-30,17.0,A
32,USGS,06803486,2000-10-31,17.0,A
33,USGS,06803486,2000-11-01,16.0,A
34,USGS,06803486,2000-11-02,13.0,A
35,USGS,06803486,2000-11-03,15.0,A
36,USGS,06803486,2000-11-04,14.0,A
37,USGS,06803486,2000-11-05,11.0,A
38,USGS,06803486,2000-11-06,17.0,A
39,USGS,06803486,2000-11-07,19.0,A
40,USGS,06803486,2000-11-08,16.0,A
41,USGS,06803486,2000-11-09,13.0,A
42,USGS,06803486,2000-11-10,12.0,A
43,USGS,06803486,2000-11-11,11.0,A
44,USGS,06803486,2000-11-12,12.0,A
45,USGS,06803486,2000-11-13,13.0,A
46,USGS,06803486,2000-11-14,11.0,A
47,USGS,06803486,2000-11-15,11.0,A
48,USGS,06803486,2000-11-16,12.0,A
49,USGS,06803486,2000-11-17,16.0,A
50,USGS,06803486,2000-11-18,13.0,A
51,USGS,06803486,2000-11-19,13.0,A
52,USGS,06803486,2000-11-20,13.0,A
53,USGS,06803486,2000-11-21,17.0,A
54,USGS,06803486,2000-11-22,15.0,A
55,USGS,06803486,2000-11-23,13.0,A
56,USGS,06803486,2000-11-24,15.0,A
57,USGS,06803486,2000-11-25,14.0,A
58,USGS,06803486,2000-11-26,14.0,A
59,USGS,06803486,2000-11-27,14.0,A
60,USGS,06803486,2000-11-28,16.0,A
61,USGS,06803486,2000-11-29,15.0,A
62,USGS,06803486,2000-11-30,13.0,A
63,USGS,06803486,2000-12-01,14.0,A
64,USGS,06803486,2000-12-02,14.0,A
65,USGS,06803486,2000-12-03,14.0,A:e
66,USGS,06803486,2000-12-04,13.0,A:e
67,USGS,06803486,2000-12-05,12.0,A:e
68,USGS,06803486,2000-12-06,13.0,A
69,USGS,06803486,2000-12-07,12.0,A
70,USGS,06803486,2000-12-08,11.0,A
71,USGS,06803486,2000-12-09,11.0,A:e
72,USGS,06803486,2000-12-10,11.0,A:e
73,USGS,06803486,2000-12-11,10.0,A:e
74,USGS,06803486,2000-12-12,10.0,A:e
75,USGS,06803486,2000-12-13,10.0,A:e
76,USGS,06803486,2000-12-14,11.0,A:e
77,USGS,06803486,2000-12-15,10.0,A:e
78,USGS,06803486,2000-12-16,11.0,A:e
79,USGS,06803486,2000-12-17,12.0,A:e
80,USGS,06803486,2000-12-18,12.0,A:e
81,USGS,06803486,2000-12-19,12.0,A:e
82,USGS,06803486,2000-12-20,11.0,A:e
83,USGS,06803486,2000-12-21,11.0,A:e
84,USGS,06803486,2000-12-22,10.0,A:e
85,USGS,06803486,2000-12-23,11.0,A:e
86,USGS,06803486,2000-12-24,11.0,A:e
87,USGS,06803486,2000-12-25,11.0,A:e
